label	arm	prefetch	temp	shape	size	stride	depth	readers	repeat	pos	asks	p50_ns	p90_ns	p99_ns	cpu_ns_per_ask	wall_ns	asks_per_s	threads	gap_p99_ns	gap_max_ns	miss_pct	resident_pct	peak_named	peak_in_flight
size_65536	hybrid_lazyring	off	cold	stride	65536	500000	1	1	9	2	256	440675	527084	583590	62845	113085597	2264	9	0	0	99.6	0.000	0	0
size_65536	product	off	cold	stride	65536	500000	1	1	9	3	256	474699	776391	2353980	114997	145403685	1761	9	0	0	99.6	0.000	1	1
size_65536	pool	off	cold	stride	65536	500000	1	1	10	0	256	398511	518578	556483	61256	107031494	2392	10	0	0	99.6	0.000	0	0
size_65536	hybrid_lazyring	off	cold	stride	65536	500000	1	1	10	1	256	540872	828579	887940	146955	155902517	1642	9	0	0	99.6	0.000	0	0
size_65536	product	off	cold	stride	65536	500000	1	1	10	2	256	642016	751349	818277	168315	162668427	1574	9	0	0	99.6	0.000	1	1
size_65536	product_ahead	off	cold	stride	65536	500000	1	1	10	3	256	215444	426456	529341	80403	60854106	4207	9	0	0	99.6	0.000	2	2
size_65536	hybrid_lazyring	off	cold	stride	65536	500000	1	1	11	0	256	491544	821448	882347	125754	140992849	1816	9	0	0	99.6	0.000	0	0
size_65536	product	off	cold	stride	65536	500000	1	1	11	1	256	531632	598373	636497	128504	137827026	1857	9	0	0	99.6	0.000	1	1
size_65536	product_ahead	off	cold	stride	65536	500000	1	1	11	2	256	251825	476856	570174	106410	69159257	3702	9	0	0	99.6	0.000	2	2
size_65536	pool	off	cold	stride	65536	500000	1	1	11	3	256	387663	526223	664022	73459	104316867	2454	10	0	0	99.6	0.000	0	0
size_131072	product	off	cold	stride	131072	500000	1	1	0	0	256	1604496	2101941	2600721	371034	404320810	633	9	0	0	99.6	0.000	1	1
size_131072	product_ahead	off	cold	stride	131072	500000	1	1	0	1	256	600813	1002138	1188143	163073	154771210	1654	9	0	0	99.6	0.000	2	2
size_131072	pool	off	cold	stride	131072	500000	1	1	0	2	256	585233	670344	751503	121955	150951984	1696	10	0	0	99.6	0.000	0	0
size_131072	hybrid_lazyring	off	cold	stride	131072	500000	1	1	0	3	256	820203	906115	938754	159480	203849413	1256	9	0	0	99.6	0.000	0	0
size_131072	product_ahead	off	cold	stride	131072	500000	1	1	1	0	256	542258	798519	1086271	112051	134661179	1901	9	0	0	99.6	0.000	2	2
size_131072	pool	off	cold	stride	131072	500000	1	1	1	1	256	590613	678447	888752	137294	157249423	1628	11	0	0	99.6	0.000	0	0
size_131072	hybrid_lazyring	off	cold	stride	131072	500000	1	1	1	2	256	581488	676062	730043	106346	151716317	1687	9	0	0	99.6	0.000	0	0
size_131072	product	off	cold	stride	131072	500000	1	1	1	3	256	1466906	1992128	2405432	363653	382413769	669	9	0	0	99.6	0.000	1	1
size_131072	pool	off	cold	stride	131072	500000	1	1	2	0	256	594362	1127916	1972318	159596	174989632	1463	10	0	0	99.6	0.000	0	0
size_131072	hybrid_lazyring	off	cold	stride	131072	500000	1	1	2	1	256	629544	696821	762302	123094	161215148	1588	9	0	0	99.6	0.000	0	0
size_131072	product	off	cold	stride	131072	500000	1	1	2	2	256	1401196	1649830	2120443	294668	347252096	737	9	0	0	99.6	0.000	1	1
size_131072	product_ahead	off	cold	stride	131072	500000	1	1	2	3	256	546090	826265	1211958	119101	137065784	1868	9	0	0	99.6	0.000	2	2
size_131072	hybrid_lazyring	off	cold	stride	131072	500000	1	1	3	0	256	642211	986242	1082358	150412	176363172	1452	9	0	0	99.6	0.000	0	0
size_131072	product	off	cold	stride	131072	500000	1	1	3	1	256	1174495	1747441	2182621	257891	328181991	780	9	0	0	99.6	0.000	1	1
