# depth_read_bench · lab/fixtures/frames_16k_big/frames_16k_big.sbnd · asks=1024 size=16384 stride=250000 repeats=6 workers=4
arm	temp	depth	repeat	asks	p50_ns	p99_ns	wall_ns	cpu_ns	threads	resident_pct	asks_per_s	cpu_ns_per_ask
uring	warm	16	0	1024	32836	48189	2405496	2571348	5	0.000	425692	2511
hybrid	warm	16	0	1024	1760	2479	2097300	2108618	5	0.000	488247	2059
uring	warm	16	1	1024	29935	45229	2152568	2318116	5	0.000	475711	2263
hybrid	warm	16	1	1024	1778	2919	2129850	2137328	5	0.000	480785	2087
pool	warm	16	1	1024	1925	2600	693844	2323106	5	0.000	1475836	2268
hybrid	warm	16	2	1024	1792	2230	2117127	2124694	5	0.000	483674	2074
pool	warm	16	2	1024	1896	6090	776701	2497462	5	0.000	1318397	2438
uring	warm	16	2	1024	32504	63055	2369303	2563192	5	0.000	432195	2503
pool	warm	16	3	1024	1898	2420	715262	2306389	5	0.000	1431643	2252
uring	warm	16	3	1024	32398	48060	2431535	2590589	5	0.000	421133	2529
hybrid	warm	16	3	1024	1836	2279	2217774	2236107	5	0.000	461724	2183
uring	warm	16	4	1024	33844	69443	2496364	2689222	5	0.000	410197	2626
hybrid	warm	16	4	1024	1893	2420	2341614	2343105	5	0.000	437305	2288
pool	warm	16	4	1024	1981	2893	782761	2589815	5	0.000	1308190	2529
hybrid	warm	16	5	1024	1737	2364	2155381	2174703	5	0.000	475090	2123
pool	warm	16	5	1024	1835	5021	768755	2458729	5	0.000	1332024	2401
uring	warm	16	5	1024	29788	61922	2273868	2428877	5	0.000	450334	2371
pool	warm	32	0	1024	1775	4025	645317	2274920	5	0.000	1586817	2221
uring	warm	32	0	1024	52461	70220	2048812	2144830	5	0.000	499802	2094
hybrid	warm	32	0	1024	1647	2457	2079544	2087764	5	0.000	492416	2038
uring	warm	32	1	1024	51181	73674	2007472	2088784	5	0.000	510094	2039
hybrid	warm	32	1	1024	1628	2060	2052725	2066309	5	0.000	498849	2017
pool	warm	32	1	1024	1716	5577	664475	2238697	5	0.000	1541066	2186
hybrid	warm	32	2	1024	1740	2355	2192203	2200059	5	0.000	467110	2148
pool	warm	32	2	1024	1775	4570	640062	2270170	5	0.000	1599845	2216
uring	warm	32	2	1024	51279	85458	2145007	2246355	5	0.000	477388	2193
pool	warm	32	3	1024	1905	3130	775311	2551296	5	0.000	1320760	2491
uring	warm	32	3	1024	51493	78726	2145154	2227391	5	0.000	477355	2175
hybrid	warm	32	3	1024	1644	2214	2286828	2294654	5	0.000	447782	2240
uring	warm	32	4	1024	51123	78643	2142658	2236195	5	0.000	477911	2183
hybrid	warm	32	4	1024	1803	2423	2381599	2397103	5	0.000	429963	2340
pool	warm	32	4	1024	1904	4927	727222	2436192	5	0.000	1408098	2379
hybrid	warm	32	5	1024	1759	2630	2320171	2304856	5	0.000	441347	2250
pool	warm	32	5	1024	1924	5016	691791	2445566	5	0.000	1480216	2388
uring	warm	32	5	1024	54944	81516	2282928	2375942	5	0.000	448547	2320
pool	warm	64	0	1024	1935	3154	933047	2465112	5	0.000	1097480	2407
uring	warm	64	0	1024	129686	200883	2915289	2983994	5	0.000	351252	2914
hybrid	warm	64	0	1024	1981	3233	3270178	3288697	5	0.000	313133	3211
uring	warm	64	1	1024	127345	191477	2972716	3065252	5	0.000	344466	2993
hybrid	warm	64	1	1024	2028	3190	3388963	3407278	5	0.000	302157	3327
pool	warm	64	1	1024	1905	2627	736442	2503473	5	0.000	1390469	2444
hybrid	warm	64	2	1024	1859	2703	2859244	2880174	5	0.000	358137	2812
