arm	fixture	rtt_ms	depth	run	mbps	p95_wait_ms	peak_outstanding	asks_sent
Q	frames_32k	60	4	2	4.148	0.00	4	85
Q	frames_32k	60	4	3	4.404	0.00	4	90
Q	frames_32k	60	6	1	6.350	0.00	6	130
Q	frames_32k	60	6	2	6.503	0.00	6	133
Q	frames_32k	60	6	3	6.350	0.00	6	130
Q	frames_32k	60	8	1	7.886	0.00	8	162
Q	frames_32k	60	8	2	7.732	0.00	8	159
Q	frames_32k	60	8	3	7.937	0.00	8	163
Q	frames_32k	60	12	1	7.937	0.00	12	167
Q	frames_32k	60	12	2	7.886	0.00	12	166
Q	frames_32k	60	12	3	7.937	0.00	12	167
Q	frames_32k	60	16	1	7.937	0.00	16	171
Q	frames_32k	60	16	2	7.937	0.00	16	171
Q	frames_32k	60	16	3	7.886	0.00	16	170
S	frames_250k	150	1	1	3.600	0.00	1	10
S	frames_250k	150	1	2	3.600	0.00	1	10
S	frames_250k	150	1	3	3.600	0.00	1	10
S	frames_250k	150	2	1	6.800	0.00	2	19
S	frames_250k	150	2	2	7.200	0.00	2	20
S	frames_250k	150	2	3	7.200	0.00	2	20
S	frames_250k	150	3	1	7.200	0.00	3	21
S	frames_250k	150	3	2	7.200	0.00	3	21
S	frames_250k	150	3	3	7.200	0.00	3	21
S	frames_250k	150	4	1	7.200	0.00	4	22
S	frames_250k	150	4	2	7.200	0.00	4	22
S	frames_250k	150	4	3	7.200	0.00	4	22
S	frames_250k	150	6	1	7.200	0.00	6	24
S	frames_250k	150	6	2	6.800	0.00	6	23
S	frames_250k	150	6	3	6.800	0.00	6	23
S	frames_250k	150	8	1	6.800	0.00	8	25
S	frames_250k	150	8	2	6.800	0.00	8	25
S	frames_250k	150	8	3	6.800	0.00	8	25
S	frames_250k	150	12	1	6.800	0.00	12	29
S	frames_250k	150	12	2	6.800	0.00	12	29
S	frames_250k	150	12	3	6.800	0.00	12	29
S	frames_250k	150	16	1	6.800	0.00	16	33
S	frames_250k	150	16	2	6.800	0.00	16	33
S	frames_250k	150	16	3	6.800	0.00	16	33
P	frames_250k	150	1	1	3.600	0.00	1	10
P	frames_250k	150	1	2	3.600	0.00	1	10
P	frames_250k	150	1	3	3.200	0.00	1	9
P	frames_250k	150	2	1	5.200	0.00	2	15
P	frames_250k	150	2	2	5.600	0.00	2	16
P	frames_250k	150	2	3	5.200	0.00	2	15
P	frames_250k	150	3	1	6.400	0.00	3	19
P	frames_250k	150	3	2	6.000	0.00	3	18
P	frames_250k	150	3	3	6.400	0.00	3	19
P	frames_250k	150	4	1	6.400	0.00	4	20
P	frames_250k	150	4	2	6.400	0.00	4	20
P	frames_250k	150	4	3	6.400	0.00	4	20
P	frames_250k	150	6	1	5.200	0.00	6	19
P	frames_250k	150	6	2	5.200	0.00	6	19
P	frames_250k	150	6	3	5.200	0.00	6	19
P	frames_250k	150	8	1	6.800	0.00	8	25
P	frames_250k	150	8	2	6.400	0.00	8	24
P	frames_250k	150	8	3	6.800	0.00	8	25
P	frames_250k	150	12	1	4.800	0.00	12	24
P	frames_250k	150	12	2	4.800	0.00	12	24
P	frames_250k	150	12	3	4.800	0.00	12	24
P	frames_250k	150	16	1	6.400	0.00	16	32
P	frames_250k	150	16	2	6.400	0.00	16	32
P	frames_250k	150	16	3	6.400	0.00	16	32
Q	frames_250k	150	1	1	3.600	0.00	1	10
Q	frames_250k	150	1	2	3.600	0.00	1	10
Q	frames_250k	150	1	3	3.600	0.00	1	10
Q	frames_250k	150	2	1	7.200	0.00	2	20
Q	frames_250k	150	2	2	7.200	0.00	2	20
Q	frames_250k	150	2	3	7.200	0.00	2	20
Q	frames_250k	150	3	1	7.200	0.00	3	21
Q	frames_250k	150	3	2	7.200	0.00	3	21
Q	frames_250k	150	3	3	7.200	0.00	3	21
Q	frames_250k	150	4	1	7.200	0.00	4	22
Q	frames_250k	150	4	2	7.200	0.00	4	21
Q	frames_250k	150	4	3	7.200	0.00	4	22
Q	frames_250k	150	6	1	6.800	0.00	6	23
Q	frames_250k	150	6	2	6.800	0.00	6	23
Q	frames_250k	150	6	3	6.800	0.00	6	23
Q	frames_250k	150	8	1	6.800	0.00	8	25
Q	frames_250k	150	8	2	7.200	0.00	8	26
Q	frames_250k	150	8	3	6.800	0.00	8	25
Q	frames_250k	150	12	1	7.200	0.00	12	30
Q	frames_250k	150	12	2	6.000	0.00	12	27
Q	frames_250k	150	12	3	6.000	0.00	12	27
Q	frames_250k	150	16	1	6.000	0.00	16	31
Q	frames_250k	150	16	2	5.600	0.00	16	30
Q	frames_250k	150	16	3	5.200	0.00	16	29
S	frames_32k	150	1	1	0.666	0.00	1	14
S	frames_32k	150	1	2	0.717	0.00	1	15
S	frames_32k	150	1	3	0.666	0.00	1	14
S	frames_32k	150	2	1	1.587	0.00	2	33
S	frames_32k	150	2	2	1.690	0.00	2	35
S	frames_32k	150	2	3	1.536	0.00	2	32
S	frames_32k	150	3	1	2.612	0.00	3	54
S	frames_32k	150	3	2	2.560	0.00	3	53
S	frames_32k	150	3	3	2.612	0.00	3	54
S	frames_32k	150	4	1	3.226	0.00	4	67
S	frames_32k	150	4	2	3.431	0.00	4	71
S	frames_32k	150	4	3	3.431	0.00	4	71
S	frames_32k	150	6	1	5.069	0.00	6	105
S	frames_32k	150	6	2	4.916	0.00	6	102
S	frames_32k	150	6	3	5.018	0.00	6	104
S	frames_32k	150	8	1	6.503	0.00	8	135
S	frames_32k	150	8	2	6.452	0.00	8	134
S	frames_32k	150	8	3	6.606	0.00	8	136
S	frames_32k	150	12	1	7.374	0.00	12	155
S	frames_32k	150	12	2	7.425	0.00	12	157
S	frames_32k	150	12	3	7.425	0.00	12	157
S	frames_32k	150	16	1	7.323	0.00	16	159
S	frames_32k	150	16	2	7.425	0.00	16	161
S	frames_32k	150	16	3	7.425	0.00	16	161
P	frames_32k	150	1	1	0.717	0.00	1	15
P	frames_32k	150	1	2	0.666	0.00	1	14
P	frames_32k	150	1	3	0.666	0.00	1	14
P	frames_32k	150	2	1	1.178	0.00	2	25
P	frames_32k	150	2	2	1.536	0.00	2	32
P	frames_32k	150	2	3	1.229	0.00	2	26
P	frames_32k	150	3	1	2.304	0.00	3	48
P	frames_32k	150	3	2	2.304	0.00	3	48
P	frames_32k	150	3	3	2.407	0.00	3	50
P	frames_32k	150	4	1	2.970	0.00	4	62
P	frames_32k	150	4	2	2.816	0.00	4	59
P	frames_32k	150	4	3	2.816	0.00	4	59
P	frames_32k	150	6	1	4.199	0.00	6	87
P	frames_32k	150	6	2	4.199	0.00	6	88
P	frames_32k	150	6	3	4.199	0.00	6	88
P	frames_32k	150	8	1	5.325	0.00	8	112
P	frames_32k	150	8	2	4.916	0.00	8	104
P	frames_32k	150	8	3	4.916	0.00	8	104
P	frames_32k	150	12	1	6.554	0.00	12	140
P	frames_32k	150	12	2	6.145	0.00	12	132
P	frames_32k	150	12	3	6.350	0.00	12	136
P	frames_32k	150	16	1	6.657	0.00	16	146
P	frames_32k	150	16	2	6.452	0.00	16	142
P	frames_32k	150	16	3	6.452	0.00	16	142
Q	frames_32k	150	1	1	0.666	0.00	1	14
Q	frames_32k	150	1	2	0.717	0.00	1	15
Q	frames_32k	150	1	3	0.717	0.00	1	15
Q	frames_32k	150	2	1	1.639	0.00	2	34
Q	frames_32k	150	2	2	1.639	0.00	2	34
Q	frames_32k	150	2	3	1.741	0.00	2	36
Q	frames_32k	150	3	1	1.946	0.00	3	41
Q	frames_32k	150	3	2	2.560	0.00	3	53
Q	frames_32k	150	3	3	2.612	0.00	3	54
Q	frames_32k	150	4	1	3.328	0.00	4	69
Q	frames_32k	150	4	2	3.328	0.00	4	69
Q	frames_32k	150	4	3	3.482	0.00	4	72
Q	frames_32k	150	6	1	5.018	0.00	6	104
Q	frames_32k	150	6	2	5.018	0.00	6	104
Q	frames_32k	150	6	3	4.967	0.00	6	103
Q	frames_32k	150	8	1	5.325	0.00	8	112
Q	frames_32k	150	8	2	6.503	0.00	8	135
Q	frames_32k	150	8	3	6.145	0.00	8	128
Q	frames_32k	150	12	1	7.425	0.00	12	157
Q	frames_32k	150	12	2	7.425	0.00	12	156
Q	frames_32k	150	12	3	7.271	0.00	12	154
Q	frames_32k	150	16	1	6.708	0.00	16	147
Q	frames_32k	150	16	2	6.913	0.00	16	151
Q	frames_32k	150	16	3	3.482	0.00	16	84
